year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2045,170,Berth,498900.0,327012.0,614638.28,,,,,
2045,170,Intra,1958749.816,327012.0,863953.39,,600.0,,,211.05527638190955
2045,170,Inter,763386.559,81753.0,215988.35,,300.0,,,105.52763819095478
2045,170,Berth,291025.0,190757.0,253086.35,,,,,
2045,190,Intra,19436564.457,4412550.73,10904812.51,5743.90243902439,1500.0,,,
2045,190,Inter,7005694.784,1102394.83,2725949.03,2819.512195121951,800.0,,,
2045,190,Berth,831500.0,609140.0,2530863.51,,,,,
2045,190,Intra,5938178.07,730968.0,2210893.4,0.0,1200.0,1008.3333333333334,,
2045,190,Inter,2425972.905,362512.59,906925.78,590.2439024388804,600.0,1.2301685596109263e-10,,
2045,190,Berth,582050.0,426398.0,1084655.79,,,,,
2045,190,Intra,3137227.399,637383.24,1618776.59,,1000.0,,54.054054054054056,
2045,190,Inter,1575815.688,212301.89,524799.74,,500.0,,229.72972972972974,
2045,190,Berth,498900.0,365484.0,614638.28,,,,,
